round,race,driverCode,laps,grid,totalRaceTime,status
1,Bahrain,VER,57,1,0 days 01:33:56.736000,Finished
1,Bahrain,PER,57,2,0 days 00:00:11.987000,Finished
1,Bahrain,ALO,57,5,0 days 00:00:38.637000,Finished
1,Bahrain,SAI,57,4,0 days 00:00:48.052000,Finished
1,Bahrain,HAM,57,7,0 days 00:00:50.977000,Finished
1,Bahrain,STR,57,8,0 days 00:00:54.502000,Finished
1,Bahrain,RUS,57,6,0 days 00:00:55.873000,Finished
1,Bahrain,BOT,57,12,0 days 00:01:12.647000,Finished
1,Bahrain,GAS,57,20,0 days 00:01:13.753000,Finished
1,Bahrain,ALB,57,15,0 days 00:01:29.774000,Finished
1,Bahrain,TSU,57,14,0 days 00:01:30.870000,Finished
1,Bahrain,SAR,56,16,0 days 00:00:00,+1 Lap
1,Bahrain,MAG,56,17,0 days 00:00:00,+1 Lap
1,Bahrain,DEV,56,19,0 days 00:00:00,+1 Lap
1,Bahrain,HUL,56,10,0 days 00:00:00,+1 Lap
1,Bahrain,ZHO,56,13,0 days 00:00:00,+1 Lap
1,Bahrain,NOR,55,11,0 days 00:00:00,+2 Laps
1,Bahrain,OCO,41,9,0 days 00:00:00,Mechanical
1,Bahrain,LEC,39,3,0 days 00:00:00,Engine
1,Bahrain,PIA,13,18,0 days 00:00:00,Electrical
2,Saudi Arabian,PER,50,1,0 days 01:21:14.894000,Finished
2,Saudi Arabian,VER,50,15,0 days 00:00:05.355000,Finished
2,Saudi Arabian,ALO,50,2,0 days 00:00:20.728000,Finished
2,Saudi Arabian,RUS,50,3,0 days 00:00:25.866000,Finished
2,Saudi Arabian,HAM,50,7,0 days 00:00:31.065000,Finished
2,Saudi Arabian,SAI,50,4,0 days 00:00:35.876000,Finished
2,Saudi Arabian,LEC,50,12,0 days 00:00:43.162000,Finished
2,Saudi Arabian,OCO,50,6,0 days 00:00:52.832000,Finished
2,Saudi Arabian,GAS,50,9,0 days 00:00:54.747000,Finished
2,Saudi Arabian,MAG,50,13,0 days 00:01:04.826000,Finished
2,Saudi Arabian,TSU,50,16,0 days 00:01:07.494000,Finished
2,Saudi Arabian,HUL,50,10,0 days 00:01:10.588000,Finished
2,Saudi Arabian,ZHO,50,11,0 days 00:01:16.060000,Finished
2,Saudi Arabian,DEV,50,18,0 days 00:01:17.478000,Finished
2,Saudi Arabian,PIA,50,8,0 days 00:01:25.021000,Finished
2,Saudi Arabian,SAR,50,20,0 days 00:01:26.293000,Finished
2,Saudi Arabian,NOR,50,19,0 days 00:01:26.445000,Finished
2,Saudi Arabian,BOT,49,14,0 days 00:00:00,+1 Lap
2,Saudi Arabian,ALB,27,17,0 days 00:00:00,Brakes
2,Saudi Arabian,STR,16,5,0 days 00:00:00,Engine
3,Australian,VER,58,1,0 days 02:32:38.371000,Finished
3,Australian,HAM,58,3,0 days 00:00:00.179000,Finished
3,Australian,ALO,58,4,0 days 00:00:00.769000,Finished
3,Australian,STR,58,6,0 days 00:00:03.082000,Finished
3,Australian,PER,58,0,0 days 00:00:03.320000,Finished
3,Australian,NOR,58,13,0 days 00:00:03.701000,Finished
3,Australian,HUL,58,10,0 days 00:00:04.939000,Finished
3,Australian,PIA,58,16,0 days 00:00:05.382000,Finished
3,Australian,ZHO,58,17,0 days 00:00:05.713000,Finished
3,Australian,TSU,58,12,0 days 00:00:06.052000,Finished
3,Australian,BOT,58,0,0 days 00:00:06.513000,Finished
3,Australian,SAI,58,5,0 days 00:00:06.594000,Finished
3,Australian,GAS,56,9,0 days 00:00:00,Collision
3,Australian,OCO,56,11,0 days 00:00:00,Collision
3,Australian,DEV,56,15,0 days 00:00:00,Collision
3,Australian,SAR,56,18,0 days 00:00:00,Collision
3,Australian,MAG,52,14,0 days 00:00:00,Accident
3,Australian,RUS,17,2,0 days 00:00:00,Engine
3,Australian,ALB,6,8,0 days 00:00:00,Accident
3,Australian,LEC,0,7,0 days 00:00:00,Collision
4,Azerbaijan,PER,51,3,0 days 01:32:42.436000,Finished
4,Azerbaijan,VER,51,2,0 days 00:00:02.137000,Finished
4,Azerbaijan,LEC,51,1,0 days 00:00:21.217000,Finished
4,Azerbaijan,ALO,51,6,0 days 00:00:22.024000,Finished
4,Azerbaijan,SAI,51,4,0 days 00:00:45.491000,Finished
4,Azerbaijan,HAM,51,5,0 days 00:00:46.145000,Finished
4,Azerbaijan,STR,51,9,0 days 00:00:51.617000,Finished
4,Azerbaijan,RUS,51,11,0 days 00:01:14.240000,Finished
4,Azerbaijan,NOR,51,7,0 days 00:01:20.376000,Finished
4,Azerbaijan,TSU,51,8,0 days 00:01:23.862000,Finished
4,Azerbaijan,PIA,51,10,0 days 00:01:26.501000,Finished
4,Azerbaijan,ALB,51,12,0 days 00:01:28.623000,Finished
4,Azerbaijan,MAG,51,16,0 days 00:01:29.729000,Finished
4,Azerbaijan,GAS,51,17,0 days 00:01:31.332000,Finished
4,Azerbaijan,OCO,51,0,0 days 00:01:37.794000,Finished
4,Azerbaijan,SAR,51,14,0 days 00:01:40.943000,Finished
4,Azerbaijan,HUL,50,0,0 days 00:00:00,+1 Lap
4,Azerbaijan,BOT,50,13,0 days 00:00:00,+1 Lap
4,Azerbaijan,ZHO,36,15,0 days 00:00:00,Overheating
4,Azerbaijan,DEV,9,18,0 days 00:00:00,Accident
5,Miami,VER,57,9,0 days 01:27:38.241000,Finished
5,Miami,PER,57,1,0 days 00:00:05.384000,Finished
5,Miami,ALO,57,2,0 days 00:00:26.305000,Finished
5,Miami,RUS,57,6,0 days 00:00:33.229000,Finished
5,Miami,SAI,57,3,0 days 00:00:42.511000,Finished
5,Miami,HAM,57,13,0 days 00:00:51.249000,Finished
5,Miami,LEC,57,7,0 days 00:00:52.988000,Finished
5,Miami,GAS,57,5,0 days 00:00:55.670000,Finished
5,Miami,OCO,57,8,0 days 00:00:58.123000,Finished
5,Miami,MAG,57,4,0 days 00:01:02.945000,Finished
5,Miami,TSU,57,17,0 days 00:01:04.309000,Finished
5,Miami,STR,57,18,0 days 00:01:04.754000,Finished
5,Miami,BOT,57,10,0 days 00:01:11.637000,Finished
5,Miami,ALB,57,11,0 days 00:01:12.861000,Finished
5,Miami,HUL,57,12,0 days 00:01:14.950000,Finished
5,Miami,ZHO,57,14,0 days 00:01:18.440000,Finished
